ECM File Output,,,,,
Filename (includes date): 2025-09-08-10-32-dic13-170.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: 2breaks, crater on bottom piece,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 33.41241015624998,,,,,
Y Right: 106.94491406249993,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 178.7359375,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 188.7359375,,,,,
X max Position (raw - not laser corrected): 945.5078125,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
49.412,94.75,0.0,3.74659e-08,--,na
49.412,95.0,0.0,3.78518e-08,--,na
49.412,95.25,0.0,3.625925e-08,--,na
49.412,95.5,0.0,3.60644e-08,--,na
49.412,95.75,0.0,3.62983e-08,--,na
49.412,96.0,0.0,3.6315350000000004e-08,--,na
49.412,96.25,0.0,3.4875549999999996e-08,--,na
49.412,96.5,0.0,3.50844e-08,--,na
49.412,96.75,0.0,3.508975e-08,--,na
49.412,97.0,0.0,3.39654e-08,--,na
49.412,97.25,0.0,3.414535e-08,--,na
49.412,97.5,0.0,3.36855e-08,--,na
49.412,97.75,0.0,3.35266e-08,--,na
49.412,98.0,0.0,3.35333e-08,--,na
49.412,98.25,0.0,3.3089e-08,--,na
49.412,98.5,0.0,3.37472e-08,--,na
49.412,98.75,0.0,3.2615449999999996e-08,--,na
49.412,99.0,0.0,3.22008e-08,--,na
49.412,99.25,0.0,3.21513e-08,--,na
49.412,99.5,0.0,3.1555e-08,--,na
49.412,99.75,0.0,3.153305e-08,--,na
49.412,100.0,0.0,3.0610999999999995e-08,--,na
49.412,100.25,0.0,3.02301e-08,--,na
49.412,100.5,0.0,2.988705e-08,--,na
49.412,100.75,0.0,2.97787e-08,--,na
49.412,101.0,0.0,3.03847e-08,--,na
49.412,101.25,0.0,3.01014e-08,--,na
49.412,101.5,0.0,2.93883e-08,--,na
49.412,101.75,0.0,2.8938499999999998e-08,--,na
49.412,102.0,0.0,2.89564e-08,--,na
49.412,102.25,0.0,2.835885e-08,--,na
49.412,102.5,0.0,2.88049e-08,--,na
49.412,102.75,0.0,2.777835e-08,--,na
49.412,103.0,0.0,2.67231e-08,--,na
49.412,103.25,0.0,2.70469e-08,--,na
49.412,103.5,0.0,2.61419e-08,--,na
49.412,103.75,0.0,2.6564300000000002e-08,--,na
49.412,104.0,0.0,2.57988e-08,--,na
49.412,104.25,0.0,2.57414e-08,--,na
49.412,104.5,0.0,2.66863e-08,--,na
49.412,104.75,0.0,2.52963e-08,--,na
49.412,105.0,0.0,2.5827999999999998e-08,--,na
49.412,105.25,0.0,2.43651e-08,--,na
49.412,105.5,0.0,2.502575e-08,--,na
49.412,105.75,0.0,2.6243599999999998e-08,--,na
49.412,106.0,0.0,2.43867e-08,--,na
49.412,106.25,0.0,2.44452e-08,--,na
49.412,106.5,0.0,2.41223e-08,--,na
49.412,106.75,0.0,2.483055e-08,--,na
49.412,107.0,0.0,2.46825e-08,--,na
49.412,107.25,0.0,2.47035e-08,--,na
49.412,107.5,0.0,2.55813e-08,--,na
49.412,107.75,0.0,2.633695e-08,--,na
49.412,108.0,0.0,2.6209449999999998e-08,--,na
49.412,108.25,0.0,2.66805e-08,--,na
49.412,108.5,0.0,2.662515e-08,--,na
49.412,108.75,0.0,2.64753e-08,--,na
49.412,109.0,0.0,2.760875e-08,--,na
49.412,109.25,0.0,2.77029e-08,--,na
49.412,109.5,0.0,2.76352e-08,--,na
49.412,109.75,0.0,2.79791e-08,--,na
