ECM File Output,,,,,
Filename (includes date): 2025-09-08-14-24-dic13a-177.txt,,,,,
AC Collect Speed: 10,,,,,
DC Collect Speed: 25,,,,,
DC Voltage: 1000,,,,,
Note: redo for x axis alignment, 3 breaks,,,,,
mm per encode step: 0.25,,,,,
Number of Expected tracks: 6,,,,,
ACDC offset: 305,,,,,
Laser offset: -10,,,,,
Y Left: 37.366277343749985,,,,,
Y Right: 113.18230078124994,,,,,
AC edgespace 16,,,,,
DC edgespace 12,,,,,
Index Mark (raw - not laser corrected): 29.103125000000002,,,,,
Index Mark Relative Depth: ,,,,,
Index Mark 2 Relative Depth: 0.0,,,,,
Index Mark 3 Relative Depth: 0.0,,,,,
(first) Index Mark Absolute Depth: ,,,,,
X min Position (raw - not laser corrected): 36.30625,,,,,
X max Position (raw - not laser corrected): 898.6828125000001,,,,,
Y_dimension(mm),X_dimension(mm),Button,AC,DC,True_depth(m)
53.366,79.75,0.0,4.03537e-08,--,na
53.366,80.0,0.0,4.03581e-08,--,na
53.366,80.25,0.0,4.32911e-08,--,na
53.366,80.5,0.0,4.019845e-08,--,na
53.366,80.75,0.0,3.94251e-08,--,na
53.366,81.0,0.0,3.93655e-08,--,na
53.366,81.25,0.0,3.907985e-08,--,na
53.366,81.5,0.0,3.85175e-08,--,na
53.366,81.75,0.0,3.78142e-08,--,na
53.366,82.0,0.0,3.783095e-08,--,na
53.366,82.25,0.0,3.7808000000000003e-08,--,na
53.366,82.5,0.0,3.657445e-08,--,na
53.366,82.75,0.0,3.62223e-08,--,na
53.366,83.0,0.0,3.6040349999999996e-08,--,na
53.366,83.25,0.0,3.51326e-08,--,na
53.366,83.5,0.0,3.4905e-08,--,na
53.366,83.75,0.0,3.41782e-08,--,na
53.366,84.0,0.0,3.42946e-08,--,na
53.366,84.25,0.0,3.48944e-08,--,na
53.366,84.5,0.0,3.315705e-08,--,na
53.366,84.75,0.0,3.33069e-08,--,na
53.366,85.0,0.0,3.269975e-08,--,na
53.366,85.25,0.0,3.26969e-08,--,na
53.366,85.5,0.0,3.173785e-08,--,na
53.366,85.75,0.0,3.12915e-08,--,na
53.366,86.0,0.0,3.06806e-08,--,na
53.366,86.25,0.0,2.99867e-08,--,na
53.366,86.5,0.0,3.0227250000000004e-08,--,na
53.366,86.75,0.0,2.99428e-08,--,na
53.366,87.0,0.0,2.9087150000000002e-08,--,na
53.366,87.25,0.0,2.96659e-08,--,na
53.366,87.5,0.0,2.90892e-08,--,na
53.366,87.75,0.0,2.82184e-08,--,na
53.366,88.0,0.0,2.8979849999999997e-08,--,na
53.366,88.25,0.0,2.8121499999999998e-08,--,na
53.366,88.5,0.0,2.80147e-08,--,na
53.366,88.75,0.0,2.79708e-08,--,na
53.366,89.0,0.0,2.804845e-08,--,na
53.366,89.25,0.0,2.822215e-08,--,na
53.366,89.5,0.0,2.75625e-08,--,na
53.366,89.75,0.0,2.78389e-08,--,na
53.366,90.0,0.0,2.73404e-08,--,na
53.366,90.25,0.0,2.60329e-08,--,na
53.366,90.5,0.0,2.82246e-08,--,na
53.366,90.75,0.0,2.82706e-08,--,na
53.366,91.0,0.0,2.7875e-08,--,na
53.366,91.25,0.0,2.7640150000000003e-08,--,na
53.366,91.5,0.0,2.88622e-08,--,na
53.366,91.75,0.0,2.7805e-08,--,na
53.366,92.0,0.0,2.82837e-08,--,na
53.366,92.25,0.0,2.7744e-08,--,na
53.366,92.5,0.0,2.74027e-08,--,na
53.366,92.75,0.0,2.85811e-08,--,na
53.366,93.0,0.0,2.854205e-08,--,na
53.366,93.25,0.0,2.90198e-08,--,na
53.366,93.5,0.0,2.862095e-08,--,na
53.366,93.75,0.0,2.91693e-08,--,na
53.366,94.0,0.0,2.882535e-08,--,na
53.366,94.25,0.0,2.86079e-08,--,na
53.366,94.5,0.0,2.9298500000000003e-08,--,na
53.366,94.75,0.0,2.95544e-08,--,na
53.366,95.0,0.0,3.06894e-08,--,na
53.366,95.25,0.0,2.96638e-08,--,na
53.366,95.5,0.0,3.0085e-08,--,na
53.366,95.75,0.0,3.05725e-08,--,na
53.366,96.0,0.0,2.983755e-08,--,na
53.366,96.25,0.0,2.931875e-08,--,na
53.366,96.5,0.0,2.99798e-08,--,na
53.366,96.75,0.0,2.95497e-08,--,na
53.366,97.0,0.0,2.93485e-08,--,na
53.366,97.25,0.0,3.016015e-08,--,na
53.366,97.5,0.0,3.03355e-08,--,na
53.366,97.75,0.0,2.93995e-08,--,na
53.366,98.0,0.0,2.991545e-08,--,na
53.366,98.25,0.0,2.987755e-08,--,na
53.366,98.5,0.0,3.05077e-08,--,na
53.366,98.75,0.0,3.07882e-08,--,na
53.366,99.0,0.0,3.066775e-08,--,na
53.366,99.25,0.0,3.1050099999999996e-08,--,na
53.366,99.5,0.0,3.13282e-08,--,na
53.366,99.75,0.0,3.004425e-08,--,na
53.366,100.0,0.0,3.01364e-08,--,na
53.366,100.25,0.0,2.9593050000000002e-08,--,na
53.366,100.5,0.0,3.12745e-08,--,na
53.366,100.75,0.0,3.00591e-08,--,na
53.366,101.0,0.0,3.02539e-08,--,na
53.366,101.25,0.0,3.03669e-08,--,na
53.366,101.5,0.0,2.973385e-08,--,na
53.366,101.75,0.0,2.98879e-08,--,na
53.366,102.0,0.0,2.981135e-08,--,na
53.366,102.25,0.0,3.03449e-08,--,na
53.366,102.5,0.0,3.00833e-08,--,na
53.366,102.75,0.0,3.01121e-08,--,na
53.366,103.0,0.0,3.096535e-08,--,na
53.366,103.25,0.0,2.995e-08,--,na
53.366,103.5,0.0,2.93314e-08,--,na
53.366,103.75,0.0,2.99168e-08,--,na
53.366,104.0,0.0,2.908255e-08,--,na
53.366,104.25,0.0,2.95529e-08,--,na
53.366,104.5,0.0,2.91547e-08,--,na
53.366,104.75,0.0,2.87509e-08,--,na
53.366,105.0,0.0,2.84339e-08,--,na
53.366,105.25,0.0,2.855125e-08,--,na
53.366,105.5,0.0,2.90852e-08,--,na
53.366,105.75,0.0,2.8344e-08,--,na
53.366,106.0,0.0,2.904985e-08,--,na
53.366,106.25,0.0,2.86389e-08,--,na
53.366,106.5,0.0,2.93093e-08,--,na
53.366,106.75,0.0,2.8659349999999998e-08,--,na
53.366,107.0,0.0,2.8858300000000002e-08,--,na
53.366,107.25,0.0,2.87046e-08,--,na
53.366,107.5,0.0,2.85201e-08,--,na
53.366,107.75,0.0,2.92476e-08,--,na
53.366,108.0,0.0,2.8381150000000003e-08,--,na
53.366,108.25,0.0,2.8653e-08,--,na
53.366,108.5,0.0,2.82442e-08,--,na
53.366,108.75,0.0,2.8202100000000002e-08,--,na
53.366,109.0,0.0,2.94926e-08,--,na
